FUSSGAENGE,EINBAHN,RADSTREIFE,ONEWAY_FT,ONEWAY_TF,HOEHE_ANFA,HOEHE_ENDE,RADWEG,LOKALISATI,VELOWEGE_M,SHAPE_Leng,ID
1,0,0,0,0,464.72672590000,465.78949053000,0,Regensdorferstrasse Trottoir links,0,52.80766533280,9893
0,0,0,0,0,403.81905429000,404.15283667000,0,Ottostrasse,0,83.67497512250,9894
0,0,0,0,0,461.21910280000,461.39510972000,0,Haldenbachstrasse,0,5.03274724044,9895
0,0,0,0,0,436.55146706000,438.71546333000,0,Weizenstrasse,0,32.56628370380,9896
0,FT,0,0,1,421.17970389000,420.35800650000,0,Habsburgstrasse,0,42.71175575990,9897
1,0,0,0,0,457.79596048000,461.93427440000,0,Althoossteig,0,34.24125143950,9898
0,0,0,0,0,405.13607333000,405.20436633000,0,Mirabellenstrasse,0,4.08362543548,9899
1,0,0,0,0,438.10496522000,441.81723042000,0,HÃ¤tzlergasse,1,207.57951559300,9900
0,0,0,0,0,517.79997150000,517.91779300000,0,Am HÃ¶nggerberg / Gsteigstrasse 20,0,7.14276935209,9901
0,0,0,0,0,413.51277783000,413.44196333000,0,Zentralstrasse,0,30.33287579350,9902
1,0,0,0,0,535.59583750000,543.53975700000,0,Hinterbergstrasse,1,56.14239758540,9903
1,0,0,0,0,462.56595977000,460.49157722000,0,Venusstrasse,1,64.46886292860,9904
0,0,0,0,0,443.44309500000,444.76680278000,0,SchÃ¶nbÃ¼hlstrasse,1,15.52153491890,9905
0,0,0,0,0,419.94722622000,419.25333185000,0,Goldbrunnenstrasse,1,86.91867685130,9906
0,0,0,0,0,431.83424719000,431.10508406000,0,SchÃ¶rlistrasse,1,50.30510846110,9907
0,0,0,0,0,408.84615850000,408.23315000000,0,Bullingerstrasse,0,297.69861786900,9908
0,FT,0,0,1,439.37269000000,442.23481000000,0,Beckenhofstrasse,1,80.81624987820,9909
0,0,0,0,0,580.42773312000,583.58461932000,0,HeilighÃ¼sli,0,166.22777287900,9910
1,TF,0,1,0,460.46947500000,462.96988944000,0,Singlistrasse,0,52.50276258080,9911
0,0,0,0,0,410.01094000000,409.86028188000,0,Rotwandstrasse,1,66.51147049050,9912
0,0,0,0,0,508.70786458000,512.32001600000,0,SchÃ¤ppistrasse,0,61.76775964430,9913
1,0,0,0,0,477.50489875000,478.28950979000,0,Rebenweg,0,10.35193303800,9914
1,0,0,0,0,489.97858700000,530.46358813000,0,Kleeweidstrasse,0,284.00758971300,9915
1,0,0,0,0,469.88464150000,463.53117280000,0,Gustav-Heinrich-Weg,0,72.95317648330,9916
0,0,0,0,0,464.73823056000,469.55964250000,0,Lettenholzstrasse,1,82.84157811400,9917
0,FT,0,0,1,434.00280389000,432.33983357000,0,Markusstrasse,0,140.20273499800,9918
0,0,0,0,0,494.96827000000,495.92650375000,0,Rebbergstrasse,1,42.22622859070,9919
1,0,0,0,0,431.90256938000,431.24956124000,0,Buchlernstrasse / ZwischenbÃ¤chen 10,1,96.95330498750,9920
0,0,0,0,0,517.64718607000,516.97317367000,0,Im oberen Boden,0,88.93007706890,9921
0,0,0,0,0,453.32760000000,454.58046182000,0,RÃ¼mlangstrasse,1,15.19011568290,9922
0,0,0,0,0,409.44798463000,409.22463750000,0,Hohlstrasse,1,36.81426634760,9923
0,TF,0,1,0,456.70648000000,469.36442500000,0,Kapfsteig,0,81.17123133260,9924
0,0,0,0,0,427.10058650000,427.12490937000,0,Hallenstadion 20,0,3.40057250719,9925
0,0,0,0,0,433.12873857000,435.02888500000,0,Katharinenweg,0,77.03031508820,9926
0,FT,0,0,1,412.70861000000,413.52677440000,0,Mainaustrasse,0,69.06383197360,9927
0,0,0,0,0,469.49131900000,468.38654804000,0,Malvenstrasse,0,86.32958602220,9928
1,0,0,0,0,432.25719000000,432.09836714000,0,Opfikonstrasse 110,0,7.91142149337,9929
0,0,0,0,0,444.91127000000,443.50925000000,0,GrÃ¼nhaldenstrasse,1,73.50162089630,9930
0,0,0,0,0,520.40296450000,520.96881500000,0,Landoltstrasse,0,7.93917409090,9931
0,0,0,0,0,456.94600150000,455.26671611000,0,FrÃ¶belstrasse,1,122.13594508300,9932
1,0,0,0,0,499.65291833000,502.98275643000,0,Streitholzstrasse,2,118.44493253700,9933
0,0,0,0,0,472.00734000000,484.24668867000,0,Reinhold-Frei-Strasse,0,269.21384526500,9934
0,0,0,0,0,406.86157667000,409.61387000000,0,Winzerhalde,1,397.73325871600,9935
